method,role,tracking_ms,mapping_ms,fps,sequence_time,source_type,source_document,source_table,local_rerun,protocol_match,scope_note,claim_boundary
ORB-SLAM3,comparison-baseline,52.5,,19.20,<1 min,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-runtime,false,false,source-reported different hardware,Descriptive context only; hardware and reporting scope differ.
DynaSLAM,comparison-baseline,141,,11.70,<2 min,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-runtime,false,false,source-reported different hardware,Descriptive context only; hardware and reporting scope differ.
NICE-SLAM,comparison-baseline,3535,3055,0.15,>30 min,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-runtime,false,false,source-reported different hardware,Descriptive context only; hardware and reporting scope differ.
ESLAM,comparison-baseline,1002,703,0.58,>10 min,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-runtime,false,false,source-reported different hardware,Descriptive context only; hardware and reporting scope differ.
RoDyn-SLAM,comparison-baseline,159,678,1.19,>10 min,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-runtime,false,false,source-reported different hardware,Descriptive context only; hardware and reporting scope differ.
SplaTAM,comparison-baseline,3417,759,0.23,>30 min,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-runtime,false,false,source-reported different hardware,Descriptive context only; hardware and reporting scope differ.
GS-SLAM,comparison-baseline,775,164,1.07,>10 min,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-runtime,false,false,source-reported different hardware,Descriptive context only; hardware and reporting scope differ.
Photo-SLAM,comparison-baseline,51.5,2.5,17.53,<1 min 30 s,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-runtime,false,false,source-reported different hardware,Descriptive context only; not a DYN-19 protocol-matched rerun.
DGS-SLAM (Kong et al.),comparison-baseline,,,1.60,<5 min,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-runtime,false,false,source-reported different hardware,Descriptive context only; tracking and mapping stage times are unreported.
DG-SLAM,comparison-baseline,89.2,549.3,1.55,<5 min,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-runtime,false,false,source-reported different hardware,Descriptive context only; hardware and reporting scope differ.
DyPho-SLAM,comparison-baseline,61.7,3.2,16.08,<1 min 30 s,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-runtime,false,false,source-reported different hardware,Descriptive context only; hardware and reporting scope differ.
FlowParse-SLAM,reference-method,56.9,2.5,17.20,,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-runtime,false,false,RTX 4090 backend rate excluding masks and segmentation,Parity reference only; do not present as an external GDOR baseline without a distinct citable release.
